"Crystal",1,"2018-05-14T22:54:39.396Z","color","User 0"
"White",1,"2018-05-14T22:54:39.396Z","color","User 0"
"Rund",16,"2018-05-14T22:54:39.396Z","shape","User 0"
"Andere Form",1,"2018-05-14T22:54:39.396Z","shape","User 0"
"Tier",2,"2018-05-14T22:54:39.396Z","shape","User 0"
"Ring",2,"2018-05-14T22:54:39.396Z","shape","User 0"
"Asymmetrisch",2,"2018-05-14T22:54:39.396Z","shape","User 0"
"Blume",1,"2018-05-14T22:54:39.396Z","shape","User 0"
"Stern",2,"2018-05-14T22:54:39.396Z","shape","User 0"
"Herz",1,"2018-05-14T22:54:39.396Z","shape","User 0"
"Navette",1,"2018-05-14T22:54:39.396Z","shape","User 0"
"Red",4,"2018-05-15T22:03:53.444Z","color","User 0"
"Pink",3,"2018-05-15T22:03:53.444Z","color","User 0"
"Black",6,"2018-05-15T22:03:53.444Z","color","User 0"
"Grey",4,"2018-05-15T22:03:53.444Z","color","User 0"
"Brown",2,"2018-05-15T22:03:53.444Z","color","User 0"
"Yellow",1,"2018-05-15T22:03:53.444Z","color","User 0"
"Crystal",6,"2018-05-15T22:03:53.444Z","color","User 0"
"Purple",7,"2018-05-15T22:03:53.444Z","color","User 0"
"Blue",10,"2018-05-15T22:03:53.444Z","color","User 0"
"Beige",1,"2018-05-15T22:03:53.444Z","color","User 0"
"Green",1,"2018-05-15T22:03:53.444Z","color","User 0"
"Tropfen",2,"2018-05-15T22:03:53.444Z","shape","User 0"
"Rund",23,"2018-05-15T22:03:53.444Z","shape","User 0"
"Oval",3,"2018-05-15T22:03:53.444Z","shape","User 0"
"Tier",4,"2018-05-15T22:03:53.444Z","shape","User 0"
"Andere Form",1,"2018-05-15T22:03:53.444Z","shape","User 0"
"Symbol",3,"2018-05-15T22:03:53.444Z","shape","User 0"
"Stern",4,"2018-05-15T22:03:53.444Z","shape","User 0"
"Blume",2,"2018-05-15T22:03:53.444Z","shape","User 0"
"Navette",1,"2018-05-15T22:03:53.444Z","shape","User 0"
"Asymmetrisch",1,"2018-05-15T22:03:53.444Z","shape","User 0"
"Black",5,"2018-05-16T23:33:03.466Z","color","User 0"
"Grey",4,"2018-05-16T23:33:03.466Z","color","User 0"
"Beige",5,"2018-05-16T23:33:03.466Z","color","User 0"
"Brown",3,"2018-05-16T23:33:03.466Z","color","User 0"
"Yellow",4,"2018-05-16T23:33:03.466Z","color","User 0"
"Purple",6,"2018-05-16T23:33:03.466Z","color","User 0"
"Red",2,"2018-05-16T23:33:03.466Z","color","User 0"
"Blue",4,"2018-05-16T23:33:03.466Z","color","User 0"
"Green",1,"2018-05-16T23:33:03.466Z","color","User 0"
"Crystal",3,"2018-05-16T23:33:03.466Z","color","User 0"
"White",1,"2018-05-16T23:33:03.466Z","color","User 0"
"Rund",18,"2018-05-16T23:33:03.466Z","shape","User 0"
"Ring",1,"2018-05-16T23:33:03.466Z","shape","User 0"
"Tier",3,"2018-05-16T23:33:03.466Z","shape","User 0"
